plot,title,year
"In 1874, Disraeli's ambitious foreign policy, aimed at creating a British empire, is voted down by the House of Commons after a speech by his great rival, William Gladstone. Later, Disraeli receives the welcome news that the spendthrift Khedive of Egypt is in dire need of money and is willing to sell the controlling shares in the Suez Canal. The purchase of the canal would secure control of India, but Michael Probert, head of the Bank of England, makes it clear to Disraeli that he is vehemently opposed to any such plan. Disraeli then summons Hugh Myers, a leading Jewish banker. Meanwhile, Lord Charles Deeford proposes to Lady Clarissa Pevensey. Although she is in love with him, she turns him down. He is content to enjoy his wealth and high social standing, and lacks the ambition she wants in a husband; further, she is a great admirer of the Prime Minister and Charles has no strong opinion about him. Disraeli, seeing promise in the young man and wanting Clarissa to be happy, convinces Charles to come work for him, and tells him about the canal purchase. But he does not tell him about the spies. Russia, eager to seize India for itself, has assigned two spies to watch Disraeli: Mrs. Travers, who has entree to the highest social circles, and Mr. Foljambe. Disraeli was not fooled; he has hired Foljambe as his personal government secretary, the better to deceive him. When Foljambe asks Charles if Myers is there to provide financial backing for the purchase of the canal, Charles says nothing, but his manner makes it clear that Foljambe has guessed correctly. Mrs. Travers orders Foljambe to leave the country and warn their masters. Disraeli soon discovers what has happened. When he decides to send an agent to the khedive immediately, Clarissa suggests he send Charles. Charles persuades the khedive to accept Myers' cheque in exchange for the shares, also proving his own worth to Clarissa. Disraeli is elated when he receives the news. However, Myers comes and informs him that his banking house has been driven into bankruptcy by sabotage; the cheque is worthless. Disraeli tells him to keep his situation secret for the moment. When the prying Mrs. Travers arrives, Disraeli allows her to learn of the purchase, and she exultantly admits to her key part in sabotaging Myers. Thinking quickly, Disraeli summons Probert. Though the banker initially refuses to help, Disraeli forces him to sign a paper giving unlimited credit to Myers by threatening to have Parliament revoke the bank's charter. (After Probert leaves, Disraeli confesses to his wife and Clarissa that he was bluffing.) Myers' solvency is restored, the deal is completed, and as a result of Disraeli's success, Queen Victoria can add Empress of India to her other titles. ",Disraeli (1929 film),1930
"Ted (Chester Morris), Jerry (Norma Shearer), Paul (Conrad Nagel), and Dorothy (Helen Johnson) are part of the New York in-crowd. Jerry's decision to marry Ted crushes Paul. He gets drunk and is involved in an accident that leaves Dorothy's face disfigured. Out of pity, Paul marries Dorothy. Ted and Jerry have been married three years when she discovers he had a brief affair with another woman — and when she confronts him on their third anniversary, he tells her it did not ""mean a thing."" Upset, and with Ted out on a business trip, Jerry spends the night with his best friend, Don. Upon Ted's return, she tells him she ""balanced [their] accounts,"" withholding Don's name. Ted is hypocritically outraged and they argue, ending with Ted leaving her and the couple filing for a divorce. While Jerry turns to partying to forget her sorrows, Ted becomes an alcoholic. Paul and Jerry run into each other and she discovers he still loves her and is willing to leave Dorothy to be with her. Only after she meets Dorothy is Jerry forced to evaluate her decision. Norma Shearer won the Academy Award for Best Actress. Also starring in the film are Robert Montgomery, Conrad Nagel, and Florence Eldridge. ",The Divorcee,1930
"Count Alfred (Maurice Chevalier), military attaché to the Sylvanian Embassy in Paris, is ordered back to Sylvania to report to Queen Louise for a reprimand following a string of scandals, including an affair with the ambassador's wife. In the meantime Queen Louise (Jeanette MacDonald), ruler of Sylvania in her own right, is royally fed-up with her subjects' preoccupation with whom she will marry. Intrigued rather than offended by Count Alfred's dossier, Queen Louise invites him to dinner. Their romance progresses to the point of marriage when, despite his qualms, for love of Louise Alfred agrees to obey the Queen. ",The Love Parade,1930
"The Oklahoma land rush of 1889 prompts thousands to travel to the Oklahoma Territory to grab free government land; Yancey Cravat (Richard Dix), his young bride, Sabra (Irene Dunne) and their son, Cim, join the throngs. In the ensuing race, Yancey is outwitted by a young prostitute, Dixie Lee (Estelle Taylor), who takes the prime piece of real estate, the Bear Creek claim, that Yancey had targeted for himself. His plans for establishing a ranch thwarted, Yancey moves into the town of Osage, a boomer town, where he confronts and kills Lon Yountis (Stanley Fields), an outlaw who has killed the prior publisher of the local newspaper. Having a background in publishing himself, Yancey establishes the Osage Wigwam, a weekly newspaper, to help turn the frontier camp into a respectable town. After the birth of their daughter, Donna, a gang of outlaws threatens Osage, led by ""The Kid"" (William Collier Jr.), who happens to be an old acquaintance of Yancey's. To save the town, Yancey faces and kills The Kid. Beset by guilt over his killing of The Kid, when another land rush appears, Yancey leaves Sabra and his children to participate in settling the Cherokee Strip. After his departure, Sabra takes over the publication of the Osage Wigwam, and raises her children until Yancey returns five years later, just in time to represent Dixie Lee and win her acquittal. Osage continues to grow, as does the Territory of Oklahoma, that gains statehood in 1907 and benefits from the early oil boom of the 1900s, including the Native American tribes, that Yancey supports, through editorials in his newspaper, after which Yancey once again disappears from Osage for several years. At the time, Sabra is vehemently against Yancey's viewpoint, despite her son's involvement with an Indian woman. Years later, when Sabra becomes the first female congresswoman from the state of Oklahoma, she lauds the virtues of her then Indian daughter-in-law. Sabra and Yancey are reunited one final time when she rushes to his side after he has rescued numerous oil drillers from a devastating explosion. He dies in her arms. ",Cimarron (1931 film),1931
The trophy wife of a stodgy man of wealth yearns for a more interesting life. ,East Lynne (1931 film),1931
"The film, considered a screwball comedy, centers on a reporter, Hildebrand 'Hildy' Johnson (Pat O'Brien) and his editor (Adolphe Menjou), who hope to cash in on a big story involving an escaped accused murderer, Earl Williams (Stone) and hide him in a rolltop desk while everybody else tries to find him. ",The Front Page (1931 film),1931
"Skippy (Jackie Cooper) is the feisty son of the strict Dr. Herbert Skinner (Willard Robertson) and his wife Ellen (Enid Bennett). Skinner forbids his son Skippy to play in the pauperized Shantytown, because of the unhygenical and criminal surroundings there. But Skippy and his friend Sidney (Jackie Searl) still go to Shantytown where Sidney meets a new boy named Sooky (Robert Coogan, Jackie Coogan's little brother). He saves the small boy Sooky from the much bigger bully Harley Nubbins (Donald Haines). Skippy and Sooky become friends. One day Harley accidentally breaks the windshield of his father's car with Skippy's yo-yo. Harley, who has a very aggressive and brute father, blames it on Skippy and Sooky. Mr. Nubbins (Jack Rube Clifford), who works as a dog catcher, takes Sooky's dog and demands that they pay him for the damages if they want their dog back. The boys gather three dollars by breaking Skippy's savings bank, but Mr. Nubbins accepts it only for his windshield. He gives them three days to get another three dollars for a dog license and he threatens that he'll kill their dog if they don't get the money. Sooky and Skippy spend the next two days selling bottles, lemonade and wood, and staging a performance to earn money. Skippy's father doesn't want to lend them the remaining thirty cents. Then Mr. Dubbins kills their dog and Skippy blames his father for it. The next morning, Skippy gets a new bicycle from his father. But he trades the bicycle to his friend, Eloise (Mitzi Green), for her new dog. Skippy takes the dog to Sooky. Dr. Skinner has a change of heart and buys Sooky a licensed dog, finds his mother a job, and refrains from ordering Shantytown destroyed, instead offering assistance to its citizens. For the first time, Dr. Skinner plays with Skippy in Shantytown. There they accidentally break Mr. Nubbins' new windshield. Dr. Skinner wins a fight against Mr. Nubbins and shows that he is a good father. ",Skippy (1931 film),1931
"The film depicts the adventures of real-life trader and adventurer Alfred Aloysius ""Trader"" Horn, while on safari in Africa. The fictional parts of the plot include the discovery of a white blonde jungle queen, the lost daughter of a missionary, played by Miss Booth. The realistic part includes a scene in which Carey as Horn swings on a vine across a river filled with genuine crocodiles, one of which comes very close to taking his leg off. ",Trader Horn (1931 film),1931
"Doctor Otternschlag, a disfigured veteran of World War I and a permanent resident of the Grand Hotel in Berlin, observes, ""People coming, going. Nothing ever happens"" — after which a great deal transpires. Baron Felix von Geigern, who squandered his fortune and supports himself as a card player and occasional jewel thief, befriends Otto Kringelein, a dying accountant who has decided to spend his remaining days in the lap of luxury. Kringelein's former employer, industrialist General Director Preysing, is at the hotel to close an important deal, and he hires stenographer Flaemmchen to assist him. She aspires to be an actress and shows Preysing some magazine photos for which she posed, implying she is willing to offer him more than typing if he advances her career. Another guest is Russian ballerina Grusinskaya, whose career is on the wane. When the Baron is in her room to steal her jewelry and she returns from the theatre, he hides in her room and overhears as she talks to herself about wanting to end it all. He comes out of hiding and engages her in conversation, and Grusinskaya finds herself attracted to him. The following morning, the Baron returns Grusinskaya's jewels, and she forgives his crime. She invites him to accompany her to Vienna, an offer he accepts. The Baron is desperate for money to pay his way out of the criminal group he had been working with. He and Kringelein get a card game going, and Kringelein wins everything, then becomes intoxicated. When he drops his wallet, the Baron stashes it in his pocket, intending to keep the winnings. However, after Kringelein begins to search for his lost belongings, the Baron – who desperately needs the money but has become very fond of Kringelein – pretends to have discovered the wallet and returns it to him. As part of a desperate merger plan, Preysing must travel to London, and he asks Flaemmchen to accompany him. Later, when the two are in her room, which opens on to his, Preysing sees the shadow of the Baron rifling through his belongings. He confronts the Baron; the two struggle, and Preysing bludgeons the Baron with the telephone, killing him. Flaemmchen sees what happened and tells Kringelein, who confronts Preysing. He insists he acted in self-defense, but Kringelein summons the police and Preysing is arrested. Grusinskaya departs for the train station, expecting to find the Baron waiting for her there. Meanwhile, Kringelein offers to take care of Flaemmchen, who suggests they seek a cure for his illness. As they leave the hotel, Doctor Otternschlag again observes, ""Grand Hotel. Always the same. People come. People go. Nothing ever happens."" ",Grand Hotel (1932 film),1932
"An idealistic young medical student named Martin Arrowsmith (Ronald Colman) makes a favorable impression on Dr. Max Gottlieb (A. E. Anson). When Arrowsmith graduates, Gottlieb offers him a position as his research assistant, but the young man reluctantly has to turn him down. He has fallen in love with nurse Leora (Helen Hayes), and the salary is not enough to support the couple. Instead, he marries Leora and sets up his medical practice in her rural home town. One day, he develops a serum to cure a fatal cow disease ravaging the nearby herds. Reinvigorated, he decides to join Gottlieb at the McGurk Institute in New York. Meanwhile, Leora miscarries and, to the couple's sorrow, is unable to have any more children, so she devotes herself to supporting her husband's mission. When there is an outbreak of bubonic plague in the West Indies, Gottlieb believes that Arrowsmith's experience with his cow serum would prove invaluable. Eager to help mankind, Arrowsmith goes to a Caribbean island to work with scientist Gustav Sondelius (Richard Bennett) in his struggle to save the natives. Leora accompanies him, despite his fear for her safety. Sir Robert Fairland (Lumsden Hare) refuses to let Arrowsmith perform an experiment by only treating half of the people with the serum in order to test the effectiveness of the cure. Howard University-educated Dr. Oliver Marchand (Clarence Brooks) offers them the people of his island as test subjects. Among the participants in the experiment is Mrs. Joyce Lanyon (Myrna Loy), a New Yorker stranded on the island who is attracted to Arrowsmith. Sondelius contracts the disease; just before he dies, he pleads with Arrowsmith to save as many lives as possible by abandoning the scientific protocol. The young doctor becomes worried about his wife. He goes to see her, but too late; she too has succumbed to the plague. Arrowsmith then decides to give the serum to all, saving many lives. On Arrowsmith's return to New York, Dr. Tubbs (Claude King), the head of the McGurk Institute, is eager to bask in his reflected glory. However, when Gottlieb suffers a stroke during the reception in Arrowsmith's honor, Arrowsmith decides to quit the institute and join his friend and co-worker Terry Wickett (Russell Hopton) in a makeshift lab doing real research. ",Arrowsmith (film),1932
"Dorothy Haley (Sally Eilers) and Edna Driggs (Minna Gombell) are store models, first seen in bridal clothes at their job one afternoon. After work Dorothy fends off her boss, who wants to take her for a ride, by claiming to be married to a prizefighter. The girls then go to Coney Island. On the return steamboat trip, the women make a bet about attracting a certain man's attention, and proceed to annoy him by playing a ukulele. This man is Eddie Collins (James Dunn); after his initial grouchy reaction to the women, he slowly forms a connection with Dorothy and sees her home. Eddie works in a radio shop and dreams of having a shop on his own, for which he has been saving. On a subsequent date, Eddie keeps Dorothy in his apartment past 4 a.m.; she fears the reaction of her abusive elder brother, who has been her guardian. Eddie proposes marriage as a solution and Dorothy joyfully accepts. Her brother calls her a tramp and evicts her from her home. Dorothy suffers some anxiety the next day, when Eddie seems to have disappeared; he then turns up, having made arrangements for a new place to live, and the two are happily married. Dorothy confides to Edna ten weeks later that she is pregnant, but is reluctant to tell Eddie the news when she learns that he is ready to open his new shop, an expensive commitment. Instead she tells Eddie that she'd like to return to work, to which he objects. Wrongly guessing that she wants a larger place to live, Eddie cancels his plans for the shop in favor of a lavish new building and new furnishings, increasing Dorothy's worries. By the time Eddie finally finds out he is to become a father, the two mutually misunderstand that the other is unhappy about the pregnancy, resulting in a strain on their marriage. The strain intensifies when Eddie stays away from home while earning extra money and arranging for the best possible doctor, all without telling Dorothy. After the child is born, Dorothy plans to leave Eddie; however, before that can happen the misunderstanding is cleared up, with joyful results. ",Bad Girl (1931 film),1932
"Andy ""Champ"" Purcell (Wallace Beery) is the former world heavyweight champion, now down on his luck and living in squalid conditions with his eight-year-old son ""Dink"" in Tijuana, Mexico. Champ attempts to train and to convince promoters to set up a fight for him, but his efforts are consistently stymied by his alcoholism. Dink is repeatedly disappointed and let down by his father's irresponsible actions and frequent broken promises to quit drinking, but his utter devotion to his father nonetheless never wavers. In addition to his drinking problem, Champ is also a compulsive gambler, another vice which he repeatedly promises Dink he will surrender (but never does). After a winning streak, he fulfills a previous promise to buy Dink a horse, whom they subsequently name ""Little Champ"" and decide to enter into a race. At the track, Dink happens across a woman who, unknown to either of them, is actually his mother Linda. She is now remarried to Tony, a wealthy man who owns one of the other horses in the race. Linda and Tony observe Dink and Champ together and realize that Dink is her son. Champ allows Linda to see Dink, who accepts that she is his mother. But Dink feels no emotion toward her, as she has never been part of his life. Linda resolves to remove Dink from the negative atmosphere in which he's growing up and have him live with her family. Catching Champ during an all-night gambling binge, Tony asks him to turn Dink over so that Tony and Linda can put Dink into school. Champ refuses. As the exhausted Dink sleeps on a nearby table, Tony bluntly observes that Champ is not a good father. The night of gambling ends with Champ having lost Little Champ, which devastates Dink. Champ asks Linda for enough money to buy the horse back, and she gives it to him. But before he can buy the horse back, he starts gambling again and loses the money Linda loaned him. He also winds up in jail, breaking Dink's heart once more. Ashamed of his actions and with his spirit broken, Champ finally agrees to send an unwilling Dink to live with Tony and Linda. On the train ride home, Tony and Linda try their best to welcome Dink into their family. Dink does not dislike them, but he is consumed only by thoughts of his father. He runs away back to Tijuana, where he finds that Champ has a fight scheduled with the Mexican heavyweight champion. When he sees Dink, Champ immediately returns to good spirits. He trains hard for the fight and, for the first time, really does stay away from drinking and gambling. Champ is determined to win the fight, make Dink proud of him, and use his prize money to buy back Little Champ. Tony and Linda attend the fight, bringing genuine best wishes and assurances that they will make no further efforts to separate Dink from Champ. The match is brutal, and Champ is seriously injured. Dink and the others in his corner urge him to throw in the towel, but Champ refuses to allow that. He musters a last burst of energy, and knocks out his opponent. After the fight, he triumphantly presents Little Champ to Dink. But after witnessing his son's overjoyed reaction, Champ collapses. Champ is brought into his dressing room, where a doctor determines that his injuries are mortal. Champ urges Dink to cheer up and then dies, leaving Dink inconsolable. Despite the best efforts of all of the men and boys in the room, who one by one attempt to calm him, Dink continually wails, ""I want the Champ!"" Finally, Dink spots Linda enter the room. Dink looks at her, cries out, ""Mother!"" and runs into her arms. She picks him up and he sobs, ""The Champ is dead, mama."" She turns and carries him out of the room as he buries his face in her shoulder, crying. ",The Champ (1931 film),1932
