plot,title,year
"In 1963 Oregon, recidivist criminal Randle McMurphy is moved to a mental institution after serving a short sentence on a prison farm for statutory rape of a 15-year-old. Though not actually mentally ill, McMurphy hopes to avoid hard labor and serve the rest of his sentence in a relaxed environment. Upon arriving at the hospital, he finds the ward run by the steely, strict Nurse Ratched, who subtly suppresses the actions of her patients through a passive-aggressive routine, intimidating the patients. The other patients include anxious, stuttering Billy Bibbit; Charlie Cheswick, who is prone to childish tantrums; delusional Martini; the well-educated, paranoid Dale Harding; belligerent Max Taber; epileptic Jim Sefelt; and “Chief” Bromden, a tall Native American believed to be deaf and mute. Ratched soon sees McMurphy’s lively, rebellious presence to be a threat to her authority, confiscating the patients’ cigarettes and rationing them. During his time in the ward, McMurphy gets into a battle of wits with Ratched. He steals a hospital bus, escaping with several patients to go on a fishing trip, encouraging his friends to become more self-confident. McMurphy learns his sentence may become indefinite, and he makes plans to escape, exhorting Chief to throw a hydrotherapy cart through a window. He, Chief, and Cheswick get into a fight with the orderlies after the latter becomes agitated over his stolen cigarettes. Ratched sends them to the “shock shop,” and McMurphy discovers Chief can actually speak, feigning being deaf and mute to avoid engaging with anyone. After being subjected to electroconvulsive therapy, McMurphy returns to the ward pretending to have brain damage, but reveals the treatment has charged him up even more. McMurphy and Chief make plans to escape, but decide to throw a secret Christmas party for their friends after Ratched leaves for the night. McMurphy sneaks two women, Candy and Rose, into the ward, and bribes the night guard. After a night of partying, McMurphy and Chief prepare to escape, inviting Billy to come with them. He refuses, not ready to leave the hospital. McMurphy instead convinces him to have sex with Candy. Ratched arrives in the morning to find the ward in disarray and most of the patients unconscious. She discovers Billy and Candy together, the former now free of his stutter, until Ratched threatens to inform his mother about his escapade. Billy is overwhelmed with fear and locks himself in the doctor’s office and commits suicide. The enraged McMurphy chokes Ratched, before being knocked out by an orderly. Ratched comes back with a neck brace and a scratchy voice. Rumors spread that McMurphy escaped, rather than be taken ""upstairs"". Later that night, Chief sees McMurphy being returned to his bed. He discovers McMurphy has lobotomy scars on his forehead, and smothers his friend with a pillow. Chief finally throws the hydrotherapy cart through the window and escapes into the night, cheered on by Taber. ",One Flew Over the Cuckoo's Nest (film),1975
"In late 1975, the heavyweight boxing world champion, Apollo Creed, announces plans to hold a title bout in Philadelphia during the upcoming United States Bicentennial. However, he is informed five weeks from the fight date that his scheduled opponent is unable to compete due to an injured hand. With all other potential replacements booked up or otherwise unavailable, Creed decides to spice things up by giving a local contender a chance to face him. He settles on Rocky Balboa, an aspiring southpaw boxer from an Italian neighborhood of Philadelphia, known by the nickname ""The Italian Stallion"". Rocky meets with promoter Miles Jergens, presuming Creed is seeking local sparring partners. Rocky reluctantly agrees to the fight, which will pay him $150,000. After several weeks of training, using whatever he can find, including meat carcasses as punching bags, Rocky accepts an offer of assistance from former boxer Mickey ""Mighty Mick"" Goldmill, a respected trainer and former bantamweight fighter from the 1920s, who always criticized Rocky for wasting his potential. Meanwhile, Rocky meets Adrian Pennino, a shopkeeper at the J&M Tropical Fish pet shop. He begins to build a romantic relationship with Adrian, culminating in a kiss. Her brother, Paulie, becomes jealous of Rocky's success, but Rocky calms him by agreeing to advertise his meatpacking business at the fight. The night before the fight, Rocky begins to lose confidence after touring the arena. He confesses to Adrian that he does not expect to win, but is content to go the distance against Creed and prove himself to everyone. On New Year's Day, the fight is held, with Creed making a dramatic entrance dressed as George Washington and then Uncle Sam. Taking advantage of his overconfidence, Rocky knocks him down in the first round—the first time that Creed has ever been knocked down. Humiliated, Creed takes Rocky more seriously for the rest of the fight, though his ego never fully fades. The fight goes on for the full fifteen rounds, with both fighters sustaining various injuries. As the fight progresses, Creed's superior skill is countered by Rocky's apparently unlimited ability to absorb punches, and his dogged refusal to be knocked out. As the final round bell sounds, with both fighters locked in each other's arms, they promise to each other that there will be no rematch. After the fight, the sportscasters and the audience go wild. Jergens announces over the loudspeaker that the fight was ""the greatest exhibition of guts and stamina in the history of the ring"", and Rocky calls out repeatedly for Adrian, who runs down and comes into the ring as Paulie distracts arena security. As Jergens declares Creed the winner by virtue of a split decision (8:7, 7:8, 9:6), Adrian and Rocky embrace and profess their love to each other, not caring about the result of the fight. ",Rocky,1976
"The comedian Alvy Singer is trying to understand why his relationship with Annie Hall ended a year ago. Growing up in New York, he vexed his mother with impossible questions about the emptiness of existence, but he was precocious about his innocent sexual curiosity. Annie and Alvy, in a line for The Sorrow and the Pity, overhear another man deriding the work of Federico Fellini and Marshall McLuhan; McLuhan himself steps in at Alvy's invitation to criticize the man's comprehension. That night, Annie shows no interest in sex with Alvy. Instead, they discuss his first wife, whose ardor gave him no pleasure. His second marriage was to a New York writer who didn't like sports and was unable to reach orgasm. With Annie, it is different. The two of them have fun making a meal of boiled lobster together. He teases her about the unusual men in her past. He met her playing tennis doubles with friends. Following the game, awkward small talk led her to offer him first a ride up town and then a glass of wine on her balcony. There, what seemed a mild exchange of trivial personal data is revealed in ""mental subtitles"" as an escalating flirtation. Their first date follows Annie's singing audition for a night club (""It Had to be You""). He suggests they kiss first to get it out of the way. After their lovemaking that night, Alvy is ""a wreck"", while she relaxes with a joint. Soon Annie admits she loves him, while he buys her books on death and says that his feelings for her are more than just love. When she moves in with him, things become very tense. Eventually, he finds her arm in arm with one of her college professors and the two begin to argue whether this is the ""flexibility"" they had discussed. They eventually break up, and he searches for the truth of relationships, asking strangers on the street about the nature of love, questioning his formative years, and imagining a cartoon version of himself arguing with a cartoon Annie portrayed as the Evil Queen in Snow White. Alvy returns to dating, but the effort is marred by neurosis, bad sex, and finally an interruption from Annie, who insists he come over immediately. It turns out she needs him to kill a spider. A reconciliation follows, coupled with a vow to stay together come what may. However, their separate discussions with their therapists make it evident there is an unspoken divide. When Alvy accepts an offer to present an award on television, they fly out to Los Angeles, with Alvy's friend, Rob. However, on the return trip, they agree that their relationship is not working. After losing her to her record producer, Tony Lacey, he unsuccessfully tries rekindling the flame with a marriage proposal. Back in New York, he stages a play of their relationship but changes the ending: now she accepts. The last meeting for them is a wistful coda on New York's Upper West Side, when they have both moved on to someone new. Alvy's voice returns with a summation: love is essential, especially if it is neurotic. Annie sings ""Seems Like Old Times"" and the credits roll. ",Annie Hall,1977
"In the small working class town of Clairton, Pennsylvania, in late 1967, steel workers Mike Vronsky, Steven Pushkov, and Nick Chevotarevich, with the support of their friends and co-workers Stan and Peter ""Axel"" Axelrod and local bar owner and friend John Welsh, prepare for two rites of passage: marriage and military service. Mike is a serious but unassuming leader; Steven the groom-to-be, pecked-at by his mother; and Nick the introspective man who loves deer hunting. Before the trio ships out, Steven and his girlfriend Angela marry in a Russian Orthodox wedding. Mike works to control his feelings for Nick's girlfriend Linda. At the wedding reception held at the local VFW hall, the guys drink, dance, sing, and enjoy the festivities, but then notice a soldier in a U.S. Army Special Forces uniform. Mike attempts to ask what Vietnam is like, but the soldier ignores him. After Mike explains that he, Steven, and Nick are going to Vietnam, the Green Beret raises his glass and says ""fuck it"". After being restrained from starting a fight, Mike goes back to the bar and raises his glass and toasts him with ""fuck it"". The soldier glances over at Mike and grins. Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him ""over there"" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot. The friends return to Welsh's bar, with Michael's deer strapped to the hood of the car. They enter rambunctiously, spraying beers over each other and singing loudly. Welsh then makes his way to the piano and begins playing Chopin's Nocturne No. 6 Op. 15-3. In Vietnam, U.S. helicopters attack a village. An unconscious Mike (now a Staff Sergeant in the Special Forces) wakes up to see an NVA soldier shoot a woman carrying a baby. Mike kills him with a flamethrower. Meanwhile, a unit of UH-1 ""Huey"" helicopters drops off several U.S. infantrymen, Nick and Steven among them. Mike, Steven, and Nick unexpectedly find each other just before they are captured and held in a prisoner of war camp. For entertainment, the guards force the prisoners to play Russian roulette and gamble on the outcome. All three friends are forced to play. Steven plays against Mike, who offers moral support, but Steven breaks down and points the gun upwards whilst pulling the trigger, grazing himself with the bullet when it discharges. As punishment, the guards put him into an underwater cage full of rats and dead bodies. Mike and Nick hatch a plan to escape by playing against each other, with Mike convincing the guards to let them play Russian roulette with three bullets in the gun. After a tense match, they kill their captors and escape. After killing the guards, Mike rescues Steven. The three float downriver on a tree limb. An American helicopter finds them, but only Nick is able to climb aboard. The weakened Steven falls back into the water, and Mike plunges in the water to rescue him. Mike helps Steven to reach the river bank, but Steven's legs are broken, so Mike carries him through the jungle to friendly lines. Approaching a caravan of locals escaping the war zone, Mike stops a South Vietnamese military truck and places the wounded Steven on it, asking the soldiers to take care of him. Nick recuperates in a military hospital in Saigon with no knowledge of his friends. After being released, he goes AWOL and aimlessly stumbles through the red-light district at night. He encounters Julien Grinda, a Frenchman, outside a gambling den where men play Russian roulette for money. Grinda entices the reluctant Nick to participate and leads him into the den. Mike is present in the den, watching the game, but the two friends do not notice each other at first. When Mike does see Nick, he is unable to get his attention. When Nick is introduced into the game, he grabs the gun, fires it at the current contestant, and then again at his own temple, causing the audience to riot in protest. Grinda hustles Nick outside to his car to escape the angry mob. Mike cannot catch up with them as they speed away. Back in the U.S., Mike maintains a low profile. He tells a cab driver to drive past the house where all his friends are waiting, as he is embarrassed by the fuss Linda and the others have made. He visits Linda the following day and grows close to her, but only because of the friend they both think they have lost. Mike goes to visit Angela at Steven's mother's home. Angela is barely responsive. When asked by Mike about Steven's whereabouts, she writes a phone number on a scrap of paper, which leads Mike to the local VA hospital where Steven has been for several months. Mike goes hunting with Axel, John, and Stan one more time, and after tracking a deer across the woods, but fires into the air. He then sits on a rock escarpment and yells out, ""OK?"", which echoes back at him. He also berates Stan for carrying around a small revolver and waving it around, not realizing it is loaded. Mike visits Steven, who has lost both of his legs and is partially paralyzed. Steven reveals that someone in Saigon has been mailing large amounts of money to him, and Mike is convinced that it is Nick. Mike brings a reluctant Steven home to Angela and then travels to Saigon just before its fall in 1975. He tracks down Grinda, who has made a lot of money from the Russian roulette-playing Nick. He finds Nick in a crowded gambling club, but Nick appears to have no recollection of his friends or his home. Mike enters the game of Russian roulette against Nick, hoping to jog his memory and persuade him to come home, but Nick's mind is gone. To keep him from taking another turn, Mike grabs Nick's arms, which are covered in scars. At the last moment, after Mike reminds Nick of their hunting trips together, Nick recognizes Mike and smiles. Nick raises the gun to his temple, and pulls the trigger, killing himself. Mike tries reviving him, but to no avail. Back home in 1975, the friends have gathered for Nick's funeral, whom Mike has brought home, staying good to his promise. Mike toasts in Nick's honor. ",The Deer Hunter,1978
"Ted Kramer (Dustin Hoffman) is a workaholic advertising executive who has just been assigned a new and very important account. Ted arrives home and shares the good news with his wife Joanna (Meryl Streep) only to find that she is leaving him. Saying that she needs to find herself, she leaves Ted to raise their son Billy (Justin Henry) by himself. Ted and Billy initially resent one another as Ted no longer has time to carry his increased workload and Billy misses his mother's love and attention. After months of unrest, Ted and Billy learn to cope and gradually bond as father and son. Ted befriends his neighbor Margaret (Jane Alexander), who had initially counseled Joanna to leave Ted if she was that unhappy. Margaret is a fellow single parent, and she and Ted become kindred spirits. One day, as the two sit in the park watching their children play, Billy falls off the jungle gym, severely cutting his face. Ted sprints several blocks through oncoming traffic carrying Billy to the hospital, where he comforts his son during treatment. Fifteen months after she walked out, Joanna returns to New York to claim Billy, and a custody battle ensues. During the custody hearing, both Ted and Joanna are unprepared for the brutal character assassinations that their lawyers unleash on the other. Margaret is forced to testify that she had advised an unhappy Joanna to leave Ted, though she also attempts to tell Joanna on the stand that her husband has profoundly changed. Eventually, the damaging facts that Ted was fired because of his conflicting parental responsibilities which forced him to take a lower-paying job come out in court, as do the details of Billy's accident. The court awards custody to Joanna, a decision mostly based on the assumption that a child is best raised by his mother. Ted discusses appealing the case, but his lawyer warns that Billy himself would have to take the stand in the resulting trial. Ted cannot bear the thought of submitting his child to such an ordeal, and decides not to contest custody. On the morning that Billy is to move in with Joanna, Ted and Billy make breakfast together, mirroring the meal that Ted tried to cook the first morning after Joanna left. They share a tender hug, knowing that this is their last daily breakfast together. Joanna calls on the intercom, asking Ted to come down to the lobby. She tells Ted how much she loves and wants Billy, but she knows that his true home is with Ted, and therefore will not take custody of him. She asks Ted if she can see Billy, and Ted says that would be fine. As they are about to enter the elevator together, Ted tells Joanna that he will stay downstairs to allow Joanna to see Billy in private. After she enters the elevator, Joanna wipes tears from her face and asks her former husband ""How do I look?"" As the elevator doors start to close on Joanna, Ted answers, ""You look terrific."" ",Kramer vs. Kramer,1979
"The Jarretts are an upper-middle-class family in suburban Chicago trying to return to normal life after the death of one teenaged son and the attempted suicide of their surviving son, Conrad (Timothy Hutton). Conrad has recently returned home from a four-month stay in a psychiatric hospital. He feels alienated from his friends and family and begins seeing a psychiatrist, Dr. Berger (Judd Hirsch). Berger learns that Conrad was involved in a sailing accident in which his older brother, Buck, whom everyone idolized, died. Conrad now deals with post-traumatic stress disorder and survivor's guilt. Conrad's father, Calvin (Donald Sutherland), tries to connect with his surviving son and understand his wife. Conrad's mother, Beth (Mary Tyler Moore), denies her loss, hoping to maintain her composure and restore her family to what it once was. She appears to have loved her older son more (though perhaps more what he represented), and because of the suicide attempt, has grown cold toward Conrad. She is determined to maintain the appearance of perfection and normalcy. Conrad works with Dr. Berger and learns to try to deal with, rather than control, his emotions. He starts dating a fellow student, Jeannine (Elizabeth McGovern), who helps him to begin to regain a sense of optimism. Conrad, however, still struggles to communicate and re-establish a normal relationship with his parents and schoolmates, including Stillman (Adam Baldwin), with whom he gets into a fist fight. He cannot seem to allow anyone, especially Beth, to get close. Beth makes several constrained attempts to appeal to Conrad for some semblance of normality, but she ends up being cold and unaffectionate towards him. She is consistently more interested in getting back to ""normal"" than in helping her son heal. Mother and son often argue while Calvin tries to referee, generally taking Conrad's side for fear of pushing him over the edge again. Things come to a climax near Christmas, when Conrad becomes furious at Beth for not wanting to take a photo with him, swearing at her in front of his grandparents. Afterward, Beth discovers Conrad has been lying about his after-school whereabouts. This leads to a heated argument between Conrad and Beth in which Conrad points out that Beth never visited him in the hospital, saying that she ""would have come if Buck was in the hospital."" Beth replies, ""Buck never would have been in the hospital!"" Beth and Calvin take a trip to see Beth’s brother in Houston, where Calvin confronts Beth, calling her out on her attitude. Conrad suffers a setback when he learns that Karen (Dinah Manoff), a friend of his from the psychiatric hospital, has committed suicide. A cathartic breakthrough session with Dr. Berger allows Conrad to stop blaming himself for Buck's death and accept his mother's frailties. Calvin, however, emotionally confronts Beth one last time. He questions their love and asks whether she is capable of truly loving anyone. Stunned, Beth decides to leave her family rather than deal with her own, or their, emotions. Calvin and Conrad are left to come to terms with their new family situation. ",Ordinary People,1980
"In 1919, Harold Abrahams (Ben Cross) enters the University of Cambridge, where he experiences anti-Semitism from the staff, but enjoys participating in the Gilbert and Sullivan club. He becomes the first person to ever complete the Trinity Great Court Run – running around the college courtyard in the time it takes for the clock to strike 12. Abrahams achieves an undefeated string of victories in various national running competitions. Although focused on his running, he falls in love with a leading Gilbert and Sullivan soprano, Sybil (Alice Krige). Eric Liddell (Ian Charleson), born in China of Scottish missionary parents, is in Scotland. His devout sister Jennie (Cheryl Campbell) disapproves of Liddell's plans to pursue competitive running. But Liddell sees running as a way of glorifying God before returning to China to work as a missionary. When they first race against each other, Liddell beats Abrahams. Abrahams takes it poorly, but Sam Mussabini (Ian Holm), a professional trainer whom he had approached earlier, offers to take him on to improve his technique. This attracts criticism from the Cambridge college masters (John Gielgud and Lindsay Anderson), who allege it is not gentlemanly for an amateur to ""play the tradesman"" by employing a professional coach. Abrahams dismisses this concern, interpreting it as cover for anti-Semitic and class-based prejudice. When Eric Liddell accidentally misses a church prayer meeting because of his running, his sister Jennie upbraids him and accuses him of no longer caring about God. Eric tells her that though he intends to eventually return to the China mission, he feels divinely inspired when running, and that not to run would be to dishonour God, saying, ""I believe that God made me for a purpose. But He also made me fast, and when I run, I feel His pleasure."" The two athletes, after years of training and racing, are accepted to represent Great Britain in the 1924 Olympics in Paris. Also accepted are Abrahams' Cambridge friends, Lord Andrew Lindsay (Nigel Havers), Aubrey Montague (Nicholas Farrell), and Henry Stallard (Daniel Gerroll). While boarding the boat to Paris for the Olympics, Liddell learns the news that the heat for his 100-metre race will be on a Sunday. He refuses to run the race – despite strong pressure from the Prince of Wales and the British Olympic committee – because his Christian convictions prevent him from running on the Sabbath. Hope appears when Liddell's teammate Lindsay, having already won a silver medal in the 400 metres hurdles, proposes to yield his place in the 400-metre race on the following Thursday to Liddell, who gratefully agrees. His religious convictions in the face of national athletic pride make headlines around the world. Liddell delivers a sermon at the Paris Church of Scotland that Sunday, and quotes from Isaiah 40, ending with, ""But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles; they shall run, and not be weary; and they shall walk, and not faint."" Abrahams is badly beaten by the heavily favoured United States runners in the 200 metre race. He knows his last chance for a medal will be the 100 metres. He competes in the race, and wins. His coach Sam Mussabini is overcome that the years of dedication and training have paid off with an Olympic gold medal. Now Abrahams can get on with his life and reunite with his girlfriend Sybil, whom he had neglected for the sake of running. Before Liddell's race, the American coach remarks dismissively to his runners that Liddell has little chance of doing well in his now far longer 400 metre race. But one of the American runners, Jackson Scholz, hands Liddell a note of support for his convictions. Liddell defeats the American favourites and wins the gold medal. The British team returns home triumphant. As the film ends, onscreen text explains that Abrahams married Sybil, and became the elder statesman of British athletics. Liddell went on to missionary work in China. All of Scotland mourned his death in 1945 in Japanese-occupied China. ",Chariots of Fire,1981
"The film opens with a statement from the filmmakers explaining their approach to the problem of filming Gandhi's complex life story: The film begins on the day of Gandhi's assassination on 30 January 1948.[7]:18–21 After an evening prayer, an elderly Gandhi is helped out for his evening walk to meet a large number of greeters and admirers. One of these visitors, Nathuram Godse, shoots him point blank in the chest. Gandhi exclaims, ""Oh, God!"", and then falls dead. The film then cuts to a huge procession at his funeral, which is attended by dignitaries from around the world. The early life of Gandhi is not depicted in the film. Instead, the story flashes back 55 years to a life-changing event: in 1893, the 23-year-old Gandhi is thrown off a South African train for being an Indian sitting in a first-class compartment despite having a first-class ticket.[9] Realising the laws are biased against Indians, he then decides to start a nonviolent protest campaign for the rights of all Indians in South Africa. After numerous arrests and unwelcome international attention, the government finally relents by recognising some rights for Indians.[10] In 1915, as a result of his victory in South Africa, Gandhi is invited back to India, where he is now considered something of a national hero. He is urged to take up the fight for India's independence, (Swaraj, Quit India) from the British Empire. Gandhi agrees, and mounts a nonviolent non-cooperation campaign of unprecedented scale, coordinating millions of Indians nationwide. There are some setbacks, such as violence against the protesters and Gandhi's occasional imprisonment. The 1919 Jallianwala Bagh massacre is also depicted in the film. Nevertheless, the campaign generates great attention, and Britain faces intense public pressure. In 1930, Gandhi protests against the British-imposed salt tax via the highly symbolic Salt March. He also travels to London for a conference concerning Britain's possible departure from India; this, however, proves fruitless. After the Second World War,[11] Britain finally grants Indian independence.[12] Indians celebrate this victory, but their troubles are far from over. The country is subsequently divided by religion. It is decided that the northwest area and the eastern part of India (current-day Bangladesh), both places where Muslims are in the majority, will become a new country called Pakistan. It is hoped that by encouraging the Muslims to live in a separate country, violence will abate. Gandhi is opposed to the idea, and is even willing to allow Muhammad Ali Jinnah to become the first prime minister of India,[13] but the Partition of India is carried out nevertheless. Religious tensions between Hindus and Muslims erupt into nationwide violence. Horrified, Gandhi declares a hunger strike, saying he will not eat until the fighting stops.[14] The fighting does stop eventually. Gandhi spends his last days trying to bring about peace between both nations. He thereby angers many dissidents on both sides, one of whom (Godse) is involved in a conspiracy to assassinate him.[15] As Godse shoots Gandhi in a scene recalling the opening, the film cuts to black and Gandhi is heard in a voiceover, saying ""Oh, God!"" The audience then sees Gandhi's cremation; the film ending with a scene of Gandhi's ashes being scattered on the holy Ganga.[16] As this happens, viewers hear Gandhi in another voiceover from earlier in the film:[17] As the list of actors is seen at the end, the hymns ""Vaishnava Jana To"" and ""Raghupati Raghava Raja Ram"" are heard. ",Gandhi (film),1982
"Aurora Greenway (Shirley MacLaine) and Emma Greenway-Horton (Debra Winger) are mother and daughter searching for love. Beginning with Emma's marriage, Aurora reveals how difficult and caring she can be. The film centers around several years as they both find their reasons for going on living and finding joy. Aurora finds Garrett Breedlove (Jack Nicholson), the retired astronaut living next door. The relationship between Emma and Aurora comes full circle when Emma is diagnosed with cancer that soon becomes terminal. At the film's end, each shows different ways of expressing love. ",Terms of Endearment,1983
"An elderly Antonio Salieri (F. Murray Abraham) confesses to the murder of his former colleague, Wolfgang Amadeus Mozart (Tom Hulce) and attempts to kill himself by slitting his throat. Two servants take him to a mental asylum where a priest, Father Vogler (Richard Frank), implores him to confess. Salieri recounts how, even in his youth, he desired to be a composer, much to the chagrin of his father. He prays to God that, if he will make Salieri a famous composer, he will in return promise his faithfulness. Soon after, his father dies, which Salieri takes as a sign that God has accepted his vow. He is educated in Vienna and becomes court composer to Emperor Joseph II (Jeffrey Jones). Mozart arrives in Vienna to perform at the request of his employer, the Prince-Archbishop of Salzburg (Nicholas Kepros). Salieri attends the performance to meet Mozart, discovers that Mozart is obscene and immature, and yet Salieri finds Mozart's talent to be transcendent. The Emperor desires to commission Mozart to write an opera and, despite the reservations of his advisers (Charles Kay, Patrick Hines, Jonathan Moore), summons him to the palace. Mozart happily accepts the job, much to the annoyance of Salieri. Mozart premieres his finished opera to mixed reviews from the Emperor. Salieri suspects that Mozart has slept with the star, Caterina Cavalieri (Christine Ebersole), despite his engagement to Constanze Weber (Elizabeth Berridge). The Emperor desires that Mozart instruct his niece, Princess Elisabeth, in music, but Salieri discourages him from doing so. Constanze visits Salieri to persuade him to make the Emperor reconsider, but she is unsuccessful. Salieri is enraged that God has bestowed upon Mozart the talent he has so desperately desired and vows to destroy Mozart. Mozart, meanwhile, struggles to find work and begins drinking. His father, Leopold Mozart (Roy Dotrice), comes to visit him in Vienna. Constanze and Mozart take Leopold to a masked party (which Salieri also attends), where Mozart entertains the guests with musical antics. Leopold disapproves of his son's hedonism and the family argues until Leopold leaves town. Salieri hires a young girl (Cynthia Nixon) to pose as the Mozarts’ maid while spying for him. She takes him to the Mozart residence, where he discovers that Mozart is working on an opera based on the play The Marriage of Figaro, which the Emperor has forbidden. When Mozart is summoned to court to explain, he manages to convince the Emperor to allow his opera to premiere, despite Salieri and the advisers' attempts at sabotage. Messengers arrive in Vienna with news of Leopold's death, and in response a grief-stricken Mozart pens Don Giovanni. Salieri recognizes the dead commander as symbolic of Leopold and hatches a plan. Wearing Leopold’s party mask, Salieri visits Mozart and commissions a Requiem Mass. Salieri plots to kill Mozart once the piece is finished, then premiere it at Mozart's funeral, claiming the work as his own. At a parody of one of Mozart's own operas, Emanuel Schikaneder (Simon Callow) asks Mozart to write an opera for his theater. Mozart, desperate for money, obliges, despite Constanze's insistence that he finish the Requiem Mass. The couple fight and Constanze leaves with their young son, Karl. Mozart collapses during a performance of his finished work, The Magic Flute. Salieri takes him home and offers his assistance on the Requiem. Salieri transcribes Mozart's verbal commands, and they work through the night. The next morning, a gravely ill Mozart apologizes to Salieri for his previous behavior. A guilty Constanze returns home and locks the unfinished Requiem away, only to find that Mozart has died from overwork. Mozart is taken out of the city and unceremoniously buried in a mass grave. Having finished his tale, Salieri asks how a merciful God could destroy his own beloved just to keep a mediocrity like Salieri from sharing in his glory. As he is pushed down the hall in a wheelchair, Salieri declares himself “the patron saint of mediocrities” and mockingly absolves the other patients of their own inadequacies. Mozart's high-pitched laugh is heard as the screen fades to black. ",Amadeus (film),1984
"Karen Blixen recalls her life in Africa where in 1913 she, as an unmarried wealthy Danish woman, is spurned by her Swedish nobleman lover, and moves to Nairobi, British East Africa to complete a marriage of convenience with her lover's brother, Baron Bror Blixen (Klaus Maria Brandauer). Bror has gone through his money and is reduced to seducing the servant girls; the couple plans to establish a dairy cattle farm. En route to Nairobi, Blixen meets Denys Finch Hatton (Robert Redford), a local big-game hunter. It is Farah that greets her at the train station; Bror is nowhere to be found. So, at Muthaiga Club, she enters the men's bar to ask for him, and she is asked to leave. Karen and Bror marry before the day is out in a ""long"" ceremony. As Baroness Blixen she learns that Bror has changed their agreed upon plan, to instead establish a coffee farm. However, his interest is more in running big game hunting on safari than at management of the farm. Eventually, Karen does develop feelings for Bror, but she contracts syphilis from him during First World War. Bror agrees to manage the farm while she takes treatment (Salvarsan) in Denmark. When she returns, he resumes working on safari. They begin to live separately. The relationship between Karen and Denys develops, and he comes to live with her. Karen and Bror get a divorce. When Denys invites a mutual woman friend on safari, Karen comes to realize that Denys does not want the same type of relationship she seeks. He assures her that when he is with her he wants to be with her, and that a marriage is immaterial to their relationship. He moves out. The farm eventually yields a good harvest, but a fire puts Karen in dire financial straits. Karen prepares for her departure from Kenya Colony to Denmark by appealing for land for her Kikuyu workers to allow them to stay together, and by selling at a rummage sale the things that she will not take with her to Denmark. Before the rummage sale, Denys visits the empty house and Karen comments that the house should have been so all along; Denys says that he was just getting used to her things. They agree that the coming Friday Denys will fly her to Mombasa; Karen to continue on to Denmark. Friday comes; Bror arrives to tell her that Denys' biplane has crashed and burned. Following the funeral, she goes to Denys' club to complete arrangements for managing any mail that in her absence may arrive; the members extend to her a toast. At the train station she says goodbye to Farah, then turns back to ask him to say her name. Karen later became an author and a storyteller, writing about her experiences in Africa, though she never was to return. ",Out of Africa (film),1985
